file_name,PULP_CBC_CMD,GUROBI,HUNGARIAN
instb_2_10_100.txt,0.4295,0.1430,0.0111
instb_2_10_1000.txt,80.8618,37.4550,0.9249
instb_2_10_200.txt,1.8151,0.7147,0.0332
instb_2_10_50.txt,0.1478,0.0406,0.0021
instb_2_10_500.txt,14.9194,8.6412,0.2271
instb_2_1_100.txt,0.5019,0.1721,0.0086
instb_2_1_1000.txt,85.4686,36.8925,0.8684
instb_2_1_200.txt,2.0009,0.7115,0.0349
instb_2_1_50.txt,0.1548,0.0421,0.0020
instb_2_1_500.txt,15.9631,8.6729,0.2084
instb_2_2_100.txt,0.5568,0.1789,0.0073
instb_2_2_1000.txt,69.3063,40.8590,0.8406
instb_2_2_200.txt,2.0538,0.7809,0.0306
instb_2_2_50.txt,0.1562,0.0508,0.0018
instb_2_2_500.txt,17.1403,9.2415,0.2313
instb_2_3_100.txt,0.5913,0.1813,0.0151
instb_2_3_1000.txt,93.3528,43.5185,0.8794
instb_2_3_200.txt,2.1418,0.7917,0.0360
instb_2_3_50.txt,0.1810,0.0478,0.0022
instb_2_3_500.txt,17.9634,9.8666,0.2074
instb_2_4_100.txt,0.6069,0.1877,0.0081
instb_2_4_1000.txt,75.9523,42.2335,0.8833
instb_2_4_200.txt,2.2009,0.8024,0.0311
instb_2_4_50.txt,0.1780,0.0497,0.0020
instb_2_4_500.txt,17.9526,9.6939,0.2239
instb_2_5_100.txt,0.6505,0.1882,0.0081
instb_2_5_1000.txt,79.6601,44.2159,0.9010
instb_2_5_200.txt,2.3513,0.8721,0.0331
instb_2_5_50.txt,0.1910,0.0590,0.0021
instb_2_5_500.txt,20.5412,10.8180,0.2092
instb_2_6_100.txt,0.7008,0.2032,0.0081
instb_2_6_1000.txt,78.3179,45.4548,0.9005
instb_2_6_200.txt,2.4010,0.8905,0.0346
instb_2_6_50.txt,0.1891,0.0513,0.0022
instb_2_6_500.txt,20.0545,10.3423,0.2192
instb_2_7_100.txt,0.6810,0.2737,0.0088
instb_2_7_1000.txt,79.9359,45.7278,0.9222
instb_2_7_200.txt,2.6171,0.9095,0.0396
instb_2_7_50.txt,0.1947,0.0549,0.0026
instb_2_7_500.txt,22.5341,10.5371,0.2534
instb_2_8_100.txt,0.7379,0.2204,0.0096
instb_2_8_1000.txt,88.3017,49.0972,0.8797
instb_2_8_200.txt,2.5409,0.9653,0.0322
instb_2_8_50.txt,0.2004,0.0569,0.0020
instb_2_8_500.txt,22.8712,11.6611,0.2161
instb_2_9_100.txt,0.7297,0.2226,0.0092
instb_2_9_1000.txt,73.8926,47.9841,1.2766
instb_2_9_200.txt,2.3912,0.9759,0.0345
instb_2_9_50.txt,0.1937,0.0588,0.0023
instb_2_9_500.txt,19.9481,11.7843,0.2096
instb_3_10_100.txt,0.6782,0.5616,0.0075
instb_3_10_1000.txt,77.4610,51.3456,0.8626
instb_3_10_200.txt,2.6105,1.1868,0.0319
instb_3_10_50.txt,0.2040,0.0686,0.0020
instb_3_10_500.txt,20.7842,13.7177,0.2151
instb_3_1_100.txt,0.6815,0.2516,0.0080
instb_3_1_1000.txt,82.6942,53.1969,0.8745
instb_3_1_200.txt,1.7193,0.9612,0.0367
instb_3_1_50.txt,0.1204,0.0612,0.0022
instb_3_1_500.txt,12.7926,11.8869,0.2137
instb_3_2_100.txt,0.4256,0.2244,0.0106
instb_3_2_1000.txt,74.8444,53.0093,0.9048
instb_3_2_200.txt,1.8636,1.0292,0.0340
instb_3_2_50.txt,0.1340,0.0643,0.0020
instb_3_2_500.txt,15.2084,12.1136,0.2291
instb_3_3_100.txt,0.4892,0.2357,0.0084
instb_3_3_1000.txt,73.3395,51.4582,0.8965
instb_3_3_200.txt,1.6754,0.9721,0.0314
instb_3_3_50.txt,0.1267,0.0559,0.0023
instb_3_3_500.txt,14.8418,11.9926,0.2116
instb_3_4_100.txt,0.4511,0.2204,0.0075
instb_3_4_1000.txt,70.5177,50.6061,0.8385
instb_3_4_200.txt,1.6214,1.3083,0.0315
instb_3_4_50.txt,0.1240,0.0629,0.0020
instb_3_4_500.txt,13.3127,12.2327,0.2038
instb_3_5_100.txt,0.4265,0.2446,0.0078
instb_3_5_1000.txt,73.5705,50.0444,0.8793
instb_3_5_200.txt,1.7286,0.9575,0.0323
instb_3_5_50.txt,0.1410,0.0644,0.0021
instb_3_5_500.txt,14.0257,11.8844,0.2179
instb_3_6_100.txt,0.4716,0.2310,0.0083
instb_3_6_1000.txt,64.3851,43.6034,0.9977
instb_3_6_200.txt,2.9417,0.5802,0.0392
instb_3_6_50.txt,0.2205,0.0327,0.0024
instb_3_6_500.txt,28.1129,7.3382,0.2568
instb_3_7_100.txt,0.7872,0.1470,0.0091
instb_3_7_1000.txt,69.0865,32.9092,0.9331
instb_3_7_200.txt,1.5393,0.6917,0.0349
instb_3_7_50.txt,0.1150,0.0534,0.0022
instb_3_7_500.txt,12.3678,8.8785,0.2308
instb_3_8_100.txt,0.3827,0.1686,0.0085
instb_3_8_1000.txt,65.5874,35.9934,0.9859
instb_3_8_200.txt,1.5261,0.6713,0.0377
instb_3_8_50.txt,0.1316,0.0385,0.0024
instb_3_8_500.txt,12.3399,7.9815,0.2478
instb_3_9_100.txt,0.4013,0.1469,0.0092
instb_3_9_1000.txt,72.5408,33.3650,1.0378
instb_3_9_200.txt,1.6221,0.6484,0.0371
instb_3_9_50.txt,0.1131,0.0369,0.0024
instb_3_9_500.txt,11.5725,8.3465,0.2455
